开始时间,event1,event2,event3,event4,event5,event6,event7,
1656,113.36,289.27,336.36,506.23,643.83,739.92,837.04,Attention
1636,118,260.42,303.64,458.71,580.34,670.28,756.07,
1801,123.62,298.82,353.68,543.59,688.02,797.72,923.48,
1442,96.28,237.98,279.67,432.3971683,549.195661,635.25,722.2757984,
1753,114.4732862,265.216518,316.8484851,493.1579961,621.8917794,717.4028751,819.7224576,
2015,144.753247,357.0139683,408.7477317,576.2192854,730.6905951,829.722929,942.0746692,
1651,130.0141334,312.0729016,359.3657787,547.3273071,676.3956954,768.485163,869.6570828,
2197,95.88718334,251.0009511,294.9211113,509.6641075,659.7924,758.9414,899.3885,
2153,113.8465989,310.1520286,362.9598173,628.2128517,796.9800282,908.0117602,1051.433526,
2792,95.05294085,237.4785029,283.3829855,460.8336637,584.2304366,672.4259377,782.5993203,Late